doi_pref,name,coci_open,crossref_close,crossref_visibility,tot_dois,deposits_flag
"10.30927","[[International Journal of Public Finance (ID 12376)]]",0,0,[[open]],[["11,26"]],[["true,true"]]
"10.30928","nn",0,0,nn,nn,nn
"10.30929","nn",0,0,nn,nn,nn
"10.30930","nn",0,0,nn,nn,nn
"10.30931","[[Journal of Engineering Technology and Applied Science (ID 12390)]]",0,0,[[open]],[["15,31"]],[["false,true"]]
"10.30933","nn",0,0,nn,nn,nn
"10.30934","[[Kocaeli Universitesi Saglik Bilimleri Dergisi (ID 12393)]]",0,1,[[open]],[["32,55"]],[["true,true"]]
"10.30935","[[Contemporary Educational Technology (ID 12395)]]",0,0,[[open]],[["0,24"]],[["false,true"]]
"10.30936","nn",0,0,nn,nn,nn
"10.30938","nn",0,0,nn,nn,nn
"10.30939","[[International Journal of Automotive Science and Technology (ID 12394)]]",0,0,[[open]],[["0,11"]],[["false,true"]]
"10.30940","nn",0,0,nn,nn,nn
"10.30941","nn",0,0,nn,nn,nn
"10.30943","nn",0,0,nn,nn,nn
"10.30944","nn",0,0,nn,nn,nn
"10.30947","[[Koreanische Gesellschaft fuer Deutsche Sprache Und Literatur (ID 12407)]]",0,0,[[open]],[["549,99"]],[["true,true"]]
"10.30950","nn",0,0,nn,nn,nn
"10.30951","nn",0,0,nn,nn,nn
"10.30952","nn",0,0,nn,nn,nn
"10.30953","[[Partners in Digital Health (ID 15189)]]",5,0,[[open]],[["0,93"]],[["false,true"]]
"10.30954","nn",0,0,nn,nn,nn
"10.30955","nn",33,69,nn,nn,nn
"10.30956","nn",2,0,nn,nn,nn
"10.30957","nn",1,0,nn,nn,nn
"10.30958","nn",8,2,nn,nn,nn
"10.30959","nn",0,0,nn,nn,nn
"10.30960","nn",3,1,nn,nn,nn
"10.30961","[[Language Education Institute, Seoul National University (ID 16048)]]",1,0,[[open]],[["0,47"]],[["false,true"]]
"10.30962","nn",3,0,nn,nn,nn
"10.30963","[[Arachnologische Mitteilungen (ID 15937)]]",2,1,[[open]],[["0,28"]],[["false,true"]]
"10.30964","[[Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi (ID 16058)]]",0,0,[[open]],[["1326,32"]],[["false,true"]]
"10.30966","nn",6,0,nn,nn,nn
"10.30967","nn",0,0,nn,nn,nn
"10.30968","nn",0,0,nn,nn,nn
"10.30969","nn",0,0,nn,nn,nn
"10.3097","nn",303,111,nn,nn,nn
"10.30970","[[Ivan Franko National University of Lviv (ID 14744)]]",6,6,[[open]],[["536,461"]],[["false,true"]]
"10.30971","nn",0,0,nn,nn,nn
"10.30972","nn",0,0,nn,nn,nn
"10.30973","nn",0,0,nn,nn,nn
"10.30975","nn",0,0,nn,nn,nn
"10.30976","[[Sosyal Ekonomik Arastirmalar Dergisi (ID 16064)]]",0,0,[[open]],[["83,22"]],[["true,true"]]
"10.30978","nn",0,0,nn,nn,nn
"10.30979","nn",3,0,nn,nn,nn
"10.3098","nn",165,69,nn,nn,nn
"10.30980","nn",0,0,nn,nn,nn
"10.30981","nn",0,0,nn,nn,nn
"10.30982","nn",0,0,nn,nn,nn
"10.30983","nn",0,0,nn,nn,nn
"10.30984","[[IAIN Manado (ID 15995)]]",0,0,[[open]],[["205,109"]],[["false,true"]]
"10.30986","nn",0,0,nn,nn,nn
"10.30987","[[Bryansk State Technical University BSTU (ID 15045)]]",0,0,[[open]],[["520,643"]],[["true,true"]]
"10.30988","nn",0,0,nn,nn,nn
"10.30989","nn",0,0,nn,nn,nn
"10.3099","nn",306,55,nn,nn,nn
"10.30991","[[International Journal of Machine Learning and Networked Collaborative Engineering (ID 16090)]]",0,0,[[open]],[["0,34"]],[["false,true"]]
"10.30992","nn",0,0,nn,nn,nn
"10.30993","nn",0,0,nn,nn,nn
"10.30994","[[STIKes Surya Mitra Husada (ID 16037)]]",0,0,[[open]],[["0,103"]],[["false,true"]]
"10.30995","nn",2,0,nn,nn,nn
"10.30996","nn",0,0,nn,nn,nn
"10.30997","nn",1,0,nn,nn,nn
"10.30998","nn",0,0,nn,nn,nn
"10.30999","nn",0,0,nn,nn,nn
"10.3100","nn",563,65,nn,nn,nn
"10.31000","nn",0,0,nn,nn,nn
"10.31002","nn",0,0,nn,nn,nn
"10.31004","nn",0,0,nn,nn,nn
"10.31006","[[Girisimcilik Inovasyon ve Pazarlama Arastirmalari Dergisi (ID 15969)]]",0,0,[[open]],[["0,20"]],[["false,true"]]
"10.31007","nn",0,0,nn,nn,nn
"10.31008","nn",0,0,nn,nn,nn
"10.31009","nn",0,0,nn,nn,nn
"10.3101","nn",146,21,nn,nn,nn
"10.31010","[[Empress Publishing, LLC (ID 16101)]]",0,0,[[open]],[["0,1"]],[["false,true"]]
"10.31011","nn",0,0,nn,nn,nn
"10.31012","nn",0,0,nn,nn,nn
"10.31013","nn",0,0,nn,nn,nn
"10.31014","nn",0,0,nn,nn,nn
"10.31015","[[International Journal of Agriculture Environment and Food Sciences (ID 16073)]]",0,0,[[open]],[["0,52"]],[["false,true"]]
"10.31017","nn",0,0,nn,nn,nn
"10.31018","nn",79,40,nn,nn,nn
"10.1525","nn",244459,68090,nn,nn,nn
"10.5422","nn",3033,45,nn,nn,nn
"10.5423","nn",4673,891,nn,nn,nn
"10.5424","[[Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA) (ID 3816)]]",5691,2498,[[open]],[["1901,261"]],[["true,true"]]
"10.5425","nn",0,0,nn,nn,nn
"10.5426","nn",347,40,nn,nn,nn
"10.3139","nn",25891,12535,nn,nn,nn
"10.4018","[[IGI Global (ID 2432)]]",108408,8772,[[open]],[["48344,13531"]],[["true,true"]]
"10.15199","nn",317,34,nn,nn,nn
"10.1520","nn",87261,56707,nn,nn,nn
"10.22321","nn",0,0,nn,nn,nn
"10.22322","nn",0,0,nn,nn,nn
"10.22323","nn",256,7,nn,nn,nn
"10.3837","nn",1265,139,nn,nn,nn
"10.3838","nn",685,309,nn,nn,nn
"10.3839","[[Korean Society for Applied Biological Chemistry (ID 2183)]]",1934,644,[[open]],[["446,102"]],[["true,true"]]
"10.3840","nn",1,0,nn,nn,nn
"10.2134","nn",182879,179604,nn,nn,nn
